App Name,Date,Attribute,Data Point Count
Canva - WebApp,2021-08-05 00:00:00 +0000,Experiment_ANFAV,2
Canva - WebApp,2021-08-05 00:00:00 +0000,Experiment_ACBRH,2
Canva - WebApp,2021-08-05 00:00:00 +0000,Experiment_ADBR3,1
Canva - WebApp,2021-08-05 00:00:00 +0000,uploads_button,1
Canva - WebApp,2021-08-05 00:00:00 +0000,Public designs,1
Canva - WebApp,2021-08-05 00:00:00 +0000,Experiment_ABEN2,1
Canva - WebApp,2021-08-04 00:00:00 +0000,locale,74
Canva - WebApp,2021-08-04 00:00:00 +0000,product_variant,20
Canva - WebApp,2021-08-04 00:00:00 +0000,brand,17
Canva - WebApp,2021-08-04 00:00:00 +0000,experience,65
Canva - WebApp,2021-08-04 00:00:00 +0000,user_journey,14
Canva - WebApp,2021-08-04 00:00:00 +0000,current_subscription,31
Canva - WebApp,2021-08-04 00:00:00 +0000,signup_referrer,14
Canva - WebApp,2021-08-04 00:00:00 +0000,displayName,47
Canva - WebApp,2021-08-04 00:00:00 +0000,signup_category,8
Canva - WebApp,2021-08-04 00:00:00 +0000,roles,42
Canva - WebApp,2021-08-04 00:00:00 +0000,Unsupported,2
Canva - WebApp,2021-08-04 00:00:00 +0000,[Amplitude] Cohort,1
Canva - WebApp,2021-08-04 00:00:00 +0000,signupSegment,1
Canva - WebApp,2021-08-04 00:00:00 +0000,Experiment_AATST,4
Canva - WebApp,2021-08-04 00:00:00 +0000,Experiment_ABEN2,2
Canva - WebApp,2021-08-04 00:00:00 +0000,Experiment_ACTA,2
Canva - WebApp,2021-08-04 00:00:00 +0000,Experiment_ANFAV,1
Canva - WebApp,2021-08-03 00:00:00 +0000,locale,66
Canva - WebApp,2021-08-03 00:00:00 +0000,product_variant,21
Canva - WebApp,2021-08-03 00:00:00 +0000,brand,21
Canva - WebApp,2021-08-03 00:00:00 +0000,Experiment_AATST,11
Canva - WebApp,2021-08-03 00:00:00 +0000,Experiment_ACBRH,3
Canva - WebApp,2021-08-03 00:00:00 +0000,Experiment_ADBR3,3
Canva - WebApp,2021-08-03 00:00:00 +0000,experience,52
Canva - WebApp,2021-08-03 00:00:00 +0000,current_subscription,23
Canva - WebApp,2021-08-03 00:00:00 +0000,displayName,41
Canva - WebApp,2021-08-03 00:00:00 +0000,roles,39
Canva - WebApp,2021-08-03 00:00:00 +0000,Unsupported,1
Canva - WebApp,2021-08-03 00:00:00 +0000,user_journey,10
Canva - WebApp,2021-08-03 00:00:00 +0000,Experiment_ABEN2,1
Canva - WebApp,2021-08-03 00:00:00 +0000,Experiment_ANFAV,5
Canva - WebApp,2021-08-03 00:00:00 +0000,Experiment_ACTA,1
Canva - WebApp,2021-08-03 00:00:00 +0000,signup_referrer,9
Canva - WebApp,2021-08-03 00:00:00 +0000,__user,1
Canva - WebApp,2021-08-03 00:00:00 +0000,Most recent browser,2
Canva - WebApp,2021-08-03 00:00:00 +0000,timezone,2
Canva - WebApp,2021-08-03 00:00:00 +0000,signupSegment,1
Canva - WebApp,2021-08-03 00:00:00 +0000,signup_category,4
Canva - WebApp,2021-08-03 00:00:00 +0000,[Amplitude] Cohort,4
Canva - WebApp,2021-08-02 00:00:00 +0000,locale,64
Canva - WebApp,2021-08-02 00:00:00 +0000,experience,45
Canva - WebApp,2021-08-02 00:00:00 +0000,current_subscription,34
Canva - WebApp,2021-08-02 00:00:00 +0000,displayName,48
Canva - WebApp,2021-08-02 00:00:00 +0000,roles,42
Canva - WebApp,2021-08-02 00:00:00 +0000,product_variant,16
Canva - WebApp,2021-08-02 00:00:00 +0000,brand,15
Canva - WebApp,2021-08-02 00:00:00 +0000,Experiment_ANFAV,5
Canva - WebApp,2021-08-02 00:00:00 +0000,user_journey,10
Canva - WebApp,2021-08-02 00:00:00 +0000,signup_referrer,8
Canva - WebApp,2021-08-02 00:00:00 +0000,signup_category,5
Canva - WebApp,2021-08-02 00:00:00 +0000,signupSegment,2
Canva - WebApp,2021-08-02 00:00:00 +0000,Most recent browser,1
Canva - WebApp,2021-08-02 00:00:00 +0000,timezone,1
Canva - WebApp,2021-08-02 00:00:00 +0000,[Amplitude] Cohort,2
Canva - WebApp,2021-08-02 00:00:00 +0000,Experiment_AATST,4
Canva - WebApp,2021-08-02 00:00:00 +0000,Experiment_ACBRH,1
Canva - WebApp,2021-08-02 00:00:00 +0000,Unsupported,1
Canva - WebApp,2021-08-02 00:00:00 +0000,Experiment_ABEN2,1
Canva - WebApp,2021-08-02 00:00:00 +0000,Experiment_ACTA,1
Canva - WebApp,2021-08-01 00:00:00 +0000,locale,47
Canva - WebApp,2021-08-01 00:00:00 +0000,displayName,32
Canva - WebApp,2021-08-01 00:00:00 +0000,roles,30
Canva - WebApp,2021-08-01 00:00:00 +0000,experience,39
Canva - WebApp,2021-08-01 00:00:00 +0000,product_variant,16
Canva - WebApp,2021-08-01 00:00:00 +0000,brand,15
Canva - WebApp,2021-08-01 00:00:00 +0000,Unsupported,1
Canva - WebApp,2021-08-01 00:00:00 +0000,Experiment_AATST,2
Canva - WebApp,2021-08-01 00:00:00 +0000,Experiment_ACBRH,1
Canva - WebApp,2021-08-01 00:00:00 +0000,user_journey,7
Canva - WebApp,2021-08-01 00:00:00 +0000,current_subscription,21
Canva - WebApp,2021-08-01 00:00:00 +0000,signup_referrer,7
Canva - WebApp,2021-08-01 00:00:00 +0000,[Amplitude] Cohort,4
Canva - WebApp,2021-08-01 00:00:00 +0000,signup_category,3
Canva - WebApp,2021-08-01 00:00:00 +0000,signupSegment,3
Canva - WebApp,2021-08-01 00:00:00 +0000,Most recent browser,3
Canva - WebApp,2021-08-01 00:00:00 +0000,timezone,3
Canva - WebApp,2021-08-01 00:00:00 +0000,uploads_button,1
Canva - WebApp,2021-08-01 00:00:00 +0000,Experiment_ABEN2,1
Canva - WebApp,2021-07-31 00:00:00 +0000,locale,44
Canva - WebApp,2021-07-31 00:00:00 +0000,current_subscription,20
Canva - WebApp,2021-07-31 00:00:00 +0000,displayName,29
Canva - WebApp,2021-07-31 00:00:00 +0000,roles,25
Canva - WebApp,2021-07-31 00:00:00 +0000,experience,38
Canva - WebApp,2021-07-31 00:00:00 +0000,user_journey,7
Canva - WebApp,2021-07-31 00:00:00 +0000,signup_referrer,5
Canva - WebApp,2021-07-31 00:00:00 +0000,signup_category,5
Canva - WebApp,2021-07-31 00:00:00 +0000,product_variant,15
Canva - WebApp,2021-07-31 00:00:00 +0000,brand,15
Canva - WebApp,2021-07-31 00:00:00 +0000,Experiment_AATST,5
Canva - WebApp,2021-07-31 00:00:00 +0000,Experiment_ABEN2,3
Canva - WebApp,2021-07-31 00:00:00 +0000,Experiment_ACTA,1
Canva - WebApp,2021-07-31 00:00:00 +0000,Experiment_ANFAV,1
Canva - WebApp,2021-07-31 00:00:00 +0000,Experiment_ACBRH,1
Canva - WebApp,2021-07-31 00:00:00 +0000,signupSegment,1
Canva - WebApp,2021-07-30 00:00:00 +0000,locale,55
Canva - WebApp,2021-07-30 00:00:00 +0000,experience,46
Canva - WebApp,2021-07-30 00:00:00 +0000,product_variant,14
Canva - WebApp,2021-07-30 00:00:00 +0000,brand,12
Canva - WebApp,2021-07-30 00:00:00 +0000,current_subscription,30
Canva - WebApp,2021-07-30 00:00:00 +0000,displayName,47
Canva - WebApp,2021-07-30 00:00:00 +0000,roles,43
Canva - WebApp,2021-07-30 00:00:00 +0000,Experiment_AATST,5
Canva - WebApp,2021-07-30 00:00:00 +0000,user_journey,15
Canva - WebApp,2021-07-30 00:00:00 +0000,signup_referrer,9
Canva - WebApp,2021-07-30 00:00:00 +0000,signupSegment,3
Canva - WebApp,2021-07-30 00:00:00 +0000,signup_category,4
Canva - WebApp,2021-07-30 00:00:00 +0000,__user,1
Canva - WebApp,2021-07-30 00:00:00 +0000,Most recent browser,2
Canva - WebApp,2021-07-30 00:00:00 +0000,timezone,2
Canva - WebApp,2021-07-30 00:00:00 +0000,Experiment_ANFAV,1
Canva - WebApp,2021-07-30 00:00:00 +0000,countryCode,1
Canva - WebApp,2021-07-30 00:00:00 +0000,Experiment_ACBRH,2
Canva - WebApp,2021-07-30 00:00:00 +0000,Experiment_ADBR3,1
Canva - WebApp,2021-07-29 00:00:00 +0000,locale,74
Canva - WebApp,2021-07-29 00:00:00 +0000,product_variant,23
Canva - WebApp,2021-07-29 00:00:00 +0000,brand,21
Canva - WebApp,2021-07-29 00:00:00 +0000,experience,64
Canva - WebApp,2021-07-29 00:00:00 +0000,displayName,46
Canva - WebApp,2021-07-29 00:00:00 +0000,roles,41
Canva - WebApp,2021-07-29 00:00:00 +0000,signupSegment,4
Canva - WebApp,2021-07-29 00:00:00 +0000,countryCode,1
Canva - WebApp,2021-07-29 00:00:00 +0000,user_journey,10
Canva - WebApp,2021-07-29 00:00:00 +0000,signup_referrer,14
Canva - WebApp,2021-07-29 00:00:00 +0000,current_subscription,27
Canva - WebApp,2021-07-29 00:00:00 +0000,signup_category,9
Canva - WebApp,2021-07-29 00:00:00 +0000,Most recent browser,3
Canva - WebApp,2021-07-29 00:00:00 +0000,timezone,3
Canva - WebApp,2021-07-29 00:00:00 +0000,Experiment_AATST,5
Canva - WebApp,2021-07-29 00:00:00 +0000,Experiment_ABEN2,2
Canva - WebApp,2021-07-29 00:00:00 +0000,Experiment_ACTA,2
Canva - WebApp,2021-07-29 00:00:00 +0000,Experiment_ACBRH,2
Canva - WebApp,2021-07-29 00:00:00 +0000,Experiment_ADBR3,2
Canva - WebApp,2021-07-28 00:00:00 +0000,locale,64
Canva - WebApp,2021-07-28 00:00:00 +0000,user_journey,16
Canva - WebApp,2021-07-28 00:00:00 +0000,current_subscription,31
Canva - WebApp,2021-07-28 00:00:00 +0000,displayName,46
Canva - WebApp,2021-07-28 00:00:00 +0000,roles,43
Canva - WebApp,2021-07-28 00:00:00 +0000,experience,52
Canva - WebApp,2021-07-28 00:00:00 +0000,signup_referrer,12
Canva - WebApp,2021-07-28 00:00:00 +0000,signup_category,10
Canva - WebApp,2021-07-28 00:00:00 +0000,product_variant,24
Canva - WebApp,2021-07-28 00:00:00 +0000,brand,22
Canva - WebApp,2021-07-28 00:00:00 +0000,Experiment_AATST,7
Canva - WebApp,2021-07-28 00:00:00 +0000,Experiment_ACBRH,1
Canva - WebApp,2021-07-28 00:00:00 +0000,Experiment_ADBR2,1
Canva - WebApp,2021-07-28 00:00:00 +0000,Experiment_ABEN2,3
Canva - WebApp,2021-07-28 00:00:00 +0000,Experiment_ANFAV,3
Canva - WebApp,2021-07-28 00:00:00 +0000,[Amplitude] Cohort,3
Canva - WebApp,2021-07-28 00:00:00 +0000,Experiment_ACTA,1
Canva - WebApp,2021-07-28 00:00:00 +0000,signupSegment,1
Canva - WebApp,2021-07-28 00:00:00 +0000,Unsupported,1
Canva - WebApp,2021-07-27 00:00:00 +0000,locale,75
Canva - WebApp,2021-07-27 00:00:00 +0000,current_subscription,41
Canva - WebApp,2021-07-27 00:00:00 +0000,displayName,59
Canva - WebApp,2021-07-27 00:00:00 +0000,roles,52
Canva - WebApp,2021-07-27 00:00:00 +0000,experience,60
Canva - WebApp,2021-07-27 00:00:00 +0000,signup_category,11
Canva - WebApp,2021-07-27 00:00:00 +0000,signup_referrer,14
Canva - WebApp,2021-07-27 00:00:00 +0000,product_variant,16
Canva - WebApp,2021-07-27 00:00:00 +0000,brand,15
Canva - WebApp,2021-07-27 00:00:00 +0000,Experiment_AATST,4
Canva - WebApp,2021-07-27 00:00:00 +0000,Experiment_ABEN2,3
Canva - WebApp,2021-07-27 00:00:00 +0000,user_journey,15
Canva - WebApp,2021-07-27 00:00:00 +0000,signupSegment,2
Canva - WebApp,2021-07-27 00:00:00 +0000,Most recent browser,3
Canva - WebApp,2021-07-27 00:00:00 +0000,timezone,3
Canva - WebApp,2021-07-27 00:00:00 +0000,[Amplitude] Cohort,2
Canva - WebApp,2021-07-27 00:00:00 +0000,Unsupported,2
Canva - WebApp,2021-07-27 00:00:00 +0000,uploads_button,1
Canva - WebApp,2021-07-27 00:00:00 +0000,Experiment_ACTA,1
Canva - WebApp,2021-07-26 00:00:00 +0000,locale,85
Canva - WebApp,2021-07-26 00:00:00 +0000,product_variant,23
Canva - WebApp,2021-07-26 00:00:00 +0000,brand,21
Canva - WebApp,2021-07-26 00:00:00 +0000,experience,71
Canva - WebApp,2021-07-26 00:00:00 +0000,user_journey,17
Canva - WebApp,2021-07-26 00:00:00 +0000,current_subscription,40
Canva - WebApp,2021-07-26 00:00:00 +0000,displayName,61
Canva - WebApp,2021-07-26 00:00:00 +0000,Unsupported,6
Canva - WebApp,2021-07-26 00:00:00 +0000,roles,55
Canva - WebApp,2021-07-26 00:00:00 +0000,signup_referrer,13
Canva - WebApp,2021-07-26 00:00:00 +0000,signup_category,11
Canva - WebApp,2021-07-26 00:00:00 +0000,Experiment_AATST,5
Canva - WebApp,2021-07-26 00:00:00 +0000,Experiment_ANFAV,2
Canva - WebApp,2021-07-26 00:00:00 +0000,signupSegment,3
Canva - WebApp,2021-07-26 00:00:00 +0000,Experiment_ABEN2,1
Canva - WebApp,2021-07-26 00:00:00 +0000,Experiment_ACTA,1
Canva - WebApp,2021-07-26 00:00:00 +0000,Experiment_ACBRH,2
Canva - WebApp,2021-07-26 00:00:00 +0000,countryCode,1
Canva - WebApp,2021-07-26 00:00:00 +0000,Experiment_ADBR3,1
Canva - WebApp,2021-07-25 00:00:00 +0000,locale,45
Canva - WebApp,2021-07-25 00:00:00 +0000,experience,37
Canva - WebApp,2021-07-25 00:00:00 +0000,Unsupported,2
Canva - WebApp,2021-07-25 00:00:00 +0000,user_journey,7
Canva - WebApp,2021-07-25 00:00:00 +0000,current_subscription,19
Canva - WebApp,2021-07-25 00:00:00 +0000,displayName,26
Canva - WebApp,2021-07-25 00:00:00 +0000,roles,24
Canva - WebApp,2021-07-25 00:00:00 +0000,product_variant,17
Canva - WebApp,2021-07-25 00:00:00 +0000,brand,15
Canva - WebApp,2021-07-25 00:00:00 +0000,Experiment_AATST,4
Canva - WebApp,2021-07-25 00:00:00 +0000,Experiment_ABEN2,3
Canva - WebApp,2021-07-25 00:00:00 +0000,Experiment_ANFAV,2
Canva - WebApp,2021-07-25 00:00:00 +0000,Experiment_ACTA,2
Canva - WebApp,2021-07-25 00:00:00 +0000,signup_referrer,4
Canva - WebApp,2021-07-25 00:00:00 +0000,signup_category,3
Canva - WebApp,2021-07-25 00:00:00 +0000,signupSegment,1
Canva - WebApp,2021-07-25 00:00:00 +0000,Experiment_ACBRH,1
Canva - WebApp,2021-07-24 00:00:00 +0000,locale,36
Canva - WebApp,2021-07-24 00:00:00 +0000,user_journey,8
Canva - WebApp,2021-07-24 00:00:00 +0000,current_subscription,13
Canva - WebApp,2021-07-24 00:00:00 +0000,displayName,25
Canva - WebApp,2021-07-24 00:00:00 +0000,roles,23
Canva - WebApp,2021-07-24 00:00:00 +0000,experience,33
Canva - WebApp,2021-07-24 00:00:00 +0000,signup_referrer,4
Canva - WebApp,2021-07-24 00:00:00 +0000,signup_category,3
Canva - WebApp,2021-07-24 00:00:00 +0000,product_variant,13
Canva - WebApp,2021-07-24 00:00:00 +0000,brand,12
Canva - WebApp,2021-07-24 00:00:00 +0000,Experiment_AATST,4
Canva - WebApp,2021-07-24 00:00:00 +0000,Experiment_ABEN2,1
Canva - WebApp,2021-07-24 00:00:00 +0000,Experiment_ANFAV,2
Canva - WebApp,2021-07-24 00:00:00 +0000,signupSegment,2
Canva - WebApp,2021-07-24 00:00:00 +0000,Unsupported,1
Canva - WebApp,2021-07-24 00:00:00 +0000,[Amplitude] Cohort,1
Canva - WebApp,2021-07-23 00:00:00 +0000,locale,66
Canva - WebApp,2021-07-23 00:00:00 +0000,current_subscription,31
Canva - WebApp,2021-07-23 00:00:00 +0000,displayName,36
Canva - WebApp,2021-07-23 00:00:00 +0000,roles,33
Canva - WebApp,2021-07-23 00:00:00 +0000,experience,56
Canva - WebApp,2021-07-23 00:00:00 +0000,user_journey,9
Canva - WebApp,2021-07-23 00:00:00 +0000,product_variant,20
Canva - WebApp,2021-07-23 00:00:00 +0000,brand,18
Canva - WebApp,2021-07-23 00:00:00 +0000,Unsupported,1
Canva - WebApp,2021-07-23 00:00:00 +0000,Experiment_AATST,4
Canva - WebApp,2021-07-23 00:00:00 +0000,Experiment_ACBRH,2
Canva - WebApp,2021-07-23 00:00:00 +0000,Experiment_ADBR3,2
Canva - WebApp,2021-07-23 00:00:00 +0000,signup_referrer,2
Canva - WebApp,2021-07-23 00:00:00 +0000,signup_category,2
Canva - WebApp,2021-07-23 00:00:00 +0000,signupSegment,3
Canva - WebApp,2021-07-23 00:00:00 +0000,countryCode,1
Canva - WebApp,2021-07-23 00:00:00 +0000,Experiment_ABEN2,1
Canva - WebApp,2021-07-23 00:00:00 +0000,Experiment_ACTA,1
Canva - WebApp,2021-07-22 00:00:00 +0000,displayName,45
Canva - WebApp,2021-07-22 00:00:00 +0000,roles,42
Canva - WebApp,2021-07-22 00:00:00 +0000,Unsupported,1
Canva - WebApp,2021-07-22 00:00:00 +0000,locale,66
Canva - WebApp,2021-07-22 00:00:00 +0000,current_subscription,29
Canva - WebApp,2021-07-22 00:00:00 +0000,experience,53
Canva - WebApp,2021-07-22 00:00:00 +0000,user_journey,14
Canva - WebApp,2021-07-22 00:00:00 +0000,signup_referrer,10
Canva - WebApp,2021-07-22 00:00:00 +0000,signup_category,5
Canva - WebApp,2021-07-22 00:00:00 +0000,product_variant,21
Canva - WebApp,2021-07-22 00:00:00 +0000,brand,21
Canva - WebApp,2021-07-22 00:00:00 +0000,Experiment_AATST,8
Canva - WebApp,2021-07-22 00:00:00 +0000,Experiment_ABEN2,7
Canva - WebApp,2021-07-22 00:00:00 +0000,Experiment_ANFAV,2
Canva - WebApp,2021-07-22 00:00:00 +0000,Experiment_ACTA,4
Canva - WebApp,2021-07-22 00:00:00 +0000,Experiment_ACBRH,1
Canva - WebApp,2021-07-22 00:00:00 +0000,Experiment_ADBR3,1
Canva - WebApp,2021-07-22 00:00:00 +0000,[Amplitude] Cohort,2
Canva - WebApp,2021-07-21 00:00:00 +0000,locale,70
Canva - WebApp,2021-07-21 00:00:00 +0000,product_variant,27
Canva - WebApp,2021-07-21 00:00:00 +0000,brand,26
Canva - WebApp,2021-07-21 00:00:00 +0000,experience,66
Canva - WebApp,2021-07-21 00:00:00 +0000,current_subscription,26
Canva - WebApp,2021-07-21 00:00:00 +0000,displayName,40
Canva - WebApp,2021-07-21 00:00:00 +0000,roles,37
Canva - WebApp,2021-07-21 00:00:00 +0000,Experiment_AATST,8
Canva - WebApp,2021-07-21 00:00:00 +0000,Experiment_ABEN2,3
Canva - WebApp,2021-07-21 00:00:00 +0000,Experiment_ACTA,2
Canva - WebApp,2021-07-21 00:00:00 +0000,user_journey,16
Canva - WebApp,2021-07-21 00:00:00 +0000,signupSegment,2
Canva - WebApp,2021-07-21 00:00:00 +0000,signup_referrer,11
Canva - WebApp,2021-07-21 00:00:00 +0000,signup_category,7
Canva - WebApp,2021-07-21 00:00:00 +0000,Experiment_ANFAV,2
Canva - WebApp,2021-07-20 00:00:00 +0000,locale,79
